,item_name,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
986,Sour Cream and Onion Potato Chips,Original Whole Grain Chips,Kosher Dill Halves Pickles,Boomchickapop Sea Salt Popcorn,Jalapeno Potato Chips,Oven Baked Cheddar & Sour Cream Potato Crisps
987,Kosher Dill Halves Pickles,Oven Baked Cheddar & Sour Cream Potato Crisps,Boomchickapop Sea Salt Popcorn,Jalapeno Potato Chips,Organic Half Baby Spinach & Half Baby Arugula,Lightly Salted Baked Snap Pea Crisps
988,Oven Baked Cheddar & Sour Cream Potato Crisps,Boomchickapop Sea Salt Popcorn,Jalapeno Potato Chips,Organic Half Baby Spinach & Half Baby Arugula,Lightly Salted Baked Snap Pea Crisps,Sea Salt & Vinegar Potato Chips
989,Soy Sauce,Organic 1% Lowfat Milk,Organic 2% Reduced Fat Milk,NA,NA,NA
990,All Natural Marinara Pasta Sauce,Organic Lightly Salted Sea Salt Thin & Crispy Restaurant Style Tortilla Chips,NA,NA,NA,NA
991,Organic Reduced Fat Milk,Organic Lightly Salted Sea Salt Thin & Crispy Restaurant Style Tortilla Chips,All Natural Marinara Pasta Sauce,NA,NA,NA
992,Rice Express Fresh Steamed Sticky White Rice,"Turkey, Pepperoni & Cheese Ready to Eat Meal Kit",Cheddar Cheese Burrito,Philadelphia Garden Vegetable Light Cream Cheese,Gluten Free Sliced Mountain White Bread,Gluten Free Plain Tortillas
993,Singapore Sesame Ginger Street Noodles,Gluten Free Plain Tortillas,Gluten Free Sliced Mountain White Bread,"Turkey, Pepperoni & Cheese Ready to Eat Meal Kit",Philadelphia Garden Vegetable Light Cream Cheese,Rice Express Fresh Steamed Sticky White Rice
994,Gluten Free Plain Tortillas,Cheddar Cheese Burrito,Beyond Beef Beefy Crumble,NA,NA,NA
995,Seitan wheat Strips,Sprouted Grain Low Sodium Bread,Ezekiel 4:9 Sprouted Whole Grain Cereal Almond,Peanut Butter Creamy With Salt,Premium Organic Strawberry Spread,Organic Orange Mango Juice
996,Organic Orange Mango Juice,Sprouted Grain Low Sodium Bread,Ezekiel 4:9 Sprouted Whole Grain Cereal Almond,Peanut Butter Creamy With Salt,Premium Organic Strawberry Spread,NA
997,Good Belly Probiotics Juice Drink Blueberry Acai Flavor,Cheddar Cheese Burrito,Beyond Grain Free Chicken Cat Food,Singapore Street Classic Curry Noodles,Singapore Sesame Ginger Street Noodles,Rice Express Fresh Steamed Sticky White Rice
998,Singapore Street Classic Curry Noodles,Gluten Free Plain Tortillas,Gluten Free Sliced Mountain White Bread,"Turkey, Pepperoni & Cheese Ready to Eat Meal Kit",Philadelphia Garden Vegetable Light Cream Cheese,Rice Express Fresh Steamed Sticky White Rice
999,Gluten Free Sliced Mountain White Bread,Gluten Free Plain Tortillas,Cheddar Cheese Burrito,Beyond Beef Beefy Crumble,NA,NA
1000,"Turkey, Pepperoni & Cheese Ready to Eat Meal Kit",Gluten Free Plain Tortillas,Gluten Free Sliced Mountain White Bread,Cheddar Cheese Burrito,Everything Bagels,Beyond Beef Beefy Crumble
1001,Philadelphia Garden Vegetable Light Cream Cheese,Gluten Free Plain Tortillas,Gluten Free Sliced Mountain White Bread,"Turkey, Pepperoni & Cheese Ready to Eat Meal Kit",Cheddar Cheese Burrito,Everything Bagels
1002,Premium Organic Strawberry Spread,Sprouted Grain Low Sodium Bread,Ezekiel 4:9 Sprouted Whole Grain Cereal Almond,Peanut Butter Creamy With Salt,NA,NA
1003,Peanut Butter Creamy With Salt,Sprouted Grain Low Sodium Bread,Ezekiel 4:9 Sprouted Whole Grain Cereal Almond,NA,NA,NA
1004,Sea Salt Popcorn,Vidalia Onion and Cilantro Dressing Marinade,Mini Cucumbers,NA,NA,NA
1005,Lemon Italian Sparkling Mineral Water,Vidalia Onion and Cilantro Dressing Marinade,Sea Salt Popcorn,Mini Cucumbers,NA,NA
1006,Organic Fresh Carrot Chips,Vidalia Onion and Cilantro Dressing Marinade,Sea Salt Popcorn,Lemon Italian Sparkling Mineral Water,Mini Cucumbers,NA
1007,Mint Chip,Organic Plain Greek Whole Milk Yogurt,NA,NA,NA,NA
1008,Organic Short Brown Sprouted Rice,Organic Plain Greek Whole Milk Yogurt,Mint Chip,NA,NA,NA
1009,Four Cheese Thin Crust Pizza,Organic Plain Greek Whole Milk Yogurt,Mint Chip,Organic Short Brown Sprouted Rice,Gum Ginger,Sinfully Sweet Campari Tomatoes
1010,Sweet Potato Yam,Salt & Vinegar Potato Crisps,NA,NA,NA,NA
1011,Quart Storage Bags,Sweet Potato Yam,Salt & Vinegar Potato Crisps,Fresh Ginger Root,NA,NA
1012,Organic Matcha Tea Bags,Organic Fresh Carrot Chips,Vidalia Onion and Cilantro Dressing Marinade,Sea Salt Popcorn,Lemon Italian Sparkling Mineral Water,Tortilla Chips with Salt
1013,Ezekiel 4:9 Sprouted Whole Grain Cereal Almond,Sprouted Grain Low Sodium Bread,NA,NA,NA,NA
1014,Flat Fillets of Anchovies,Organic Matcha Tea Bags,Organic Fresh Carrot Chips,Vidalia Onion and Cilantro Dressing Marinade,Sea Salt Popcorn,Lemon Italian Sparkling Mineral Water
1015,Boneless Chicken Breast,Organic Greek Whole Milk Blended Vanilla Bean Yogurt,100% Whole Wheat Hot Dog Buns,Organic Quinoa & Brown Rice With Garlic,NA,NA
1016,Organic Quinoa & Brown Rice With Garlic,100% Whole Wheat Hot Dog Buns,NA,NA,NA,NA
1017,Organic Greek Whole Milk Blended Vanilla Bean Yogurt,100% Whole Wheat Hot Dog Buns,Organic Quinoa & Brown Rice With Garlic,NA,NA,NA
1018,Optic White Sparkling Mint Toothpaste,Beyond Grain Free Chicken Cat Food,Good Belly Probiotics Juice Drink Blueberry Acai Flavor,Gluten Free Plain Tortillas,Gluten Free Sliced Mountain White Bread,"Turkey, Pepperoni & Cheese Ready to Eat Meal Kit"
1019,Everyone Aromatherapy Essential Oil Diffuser,Good Belly Probiotics Juice Drink Blueberry Acai Flavor,Gluten Free Plain Tortillas,Gluten Free Sliced Mountain White Bread,"Turkey, Pepperoni & Cheese Ready to Eat Meal Kit",Philadelphia Garden Vegetable Light Cream Cheese
1020,Chorizo Seitan,Organic Orange Mango Juice,Premium Organic Strawberry Spread,Peanut Butter Creamy With Salt,Ezekiel 4:9 Sprouted Whole Grain Cereal Almond,Seitan wheat Strips
1021,Vegan Chao Creamy Original Cheese Slices,Seitan wheat Strips,Sprouted Grain Low Sodium Bread,Ezekiel 4:9 Sprouted Whole Grain Cereal Almond,Peanut Butter Creamy With Salt,Premium Organic Strawberry Spread
1022,Soft Baked Chocolate Chip Cookies Gluten Free,Organic Lightly Salted Sea Salt Thin & Crispy Restaurant Style Tortilla Chips,All Natural Marinara Pasta Sauce,Organic Reduced Fat Milk,Roman Raspberry Sorbetto,NA
1023,Honey Lemon Ginseng Green Tea Bags,Organic Lightly Salted Sea Salt Thin & Crispy Restaurant Style Tortilla Chips,All Natural Marinara Pasta Sauce,Organic Reduced Fat Milk,Soft Baked Chocolate Chip Cookies Gluten Free,Roman Raspberry Sorbetto
1024,Enriched Vanilla Rice Drink,Singapore Street Classic Curry Noodles,Beyond Grain Free Chicken Cat Food,Cheddar Cheese Burrito,Everyone Aromatherapy Essential Oil Diffuser,Optic White Sparkling Mint Toothpaste
1025,Beyond Grain Free Chicken Cat Food,Gluten Free Plain Tortillas,Gluten Free Sliced Mountain White Bread,"Turkey, Pepperoni & Cheese Ready to Eat Meal Kit",Philadelphia Garden Vegetable Light Cream Cheese,Rice Express Fresh Steamed Sticky White Rice
1026,Cantina Traditional Tortilla Chips,Singapore Street Classic Curry Noodles,Good Belly Probiotics Juice Drink Blueberry Acai Flavor,Gluten Free Plain Tortillas,Gluten Free Sliced Mountain White Bread,"Turkey, Pepperoni & Cheese Ready to Eat Meal Kit"
1027,Migraine Pain Reliever Caplets,Classic Fried Chicken Frozen Dinner,Squeeze Tomato Ketchup,Herb Roasted Chicken Dinner,Mint Chip Ice Cream,Rocky Road Ice Cream
1028,Top Chef Ravioli & Chicken Marinara,Rocky Road Ice Cream,Vanilla Bean Ice Cream,Café Steamers 100% Natural Tortellini Primavera Parmesan,Café Steamers Grilled Chicken Marinara,"Broccoli, Carrots, Cauliflower, & Cheese Sauce"
1029,"Broccoli, Carrots, Cauliflower, & Cheese Sauce",Rocky Road Ice Cream,Herb Roasted Chicken Dinner,Mint Chip Ice Cream,Migraine Pain Reliever Caplets,Squeeze Tomato Ketchup
1030,Café Steamers 100% Natural Tortellini Primavera Parmesan,Squeeze Tomato Ketchup,Migraine Pain Reliever Caplets,Cafe Steamers Asian Beef Teriyaki,Original Nooks & Crannies English Muffins,Soft & Smooth Whole Grain White Bread
1031,Vanilla Bean Ice Cream,Rocky Road Ice Cream,Mint Chip Ice Cream,Herb Roasted Chicken Dinner,Milano Double Chocolate Cookies,White Chocolate Raspberry Truffle Ice Cream
1032,Meat Lovers Breakfast Bowl,Rocky Road Ice Cream,Mint Chip Ice Cream,Herb Roasted Chicken Dinner,Milano Double Chocolate Cookies,White Chocolate Raspberry Truffle Ice Cream
1033,Café Steamers Grilled Chicken Marinara,"Broccoli, Carrots, Cauliflower, & Cheese Sauce",Soft & Smooth Whole Grain White Bread,Squeeze Tomato Ketchup,ForceFlex Drawstring Tall Kitchen Bags,"Plates, Ultra, 10-1/16 Inch"
1034,Trail Mix,Apples,Cinnamon Brown Sugar Breakfast Biscuits,Crunchy Oats 'n Honey Granola Bars,Shredded Mexican Blend Cheese,Mixed Fruit Fruit Snacks
1035,Cheez-It Baked Snack Crackers,Shredded Mexican Blend Cheese,Apples,Crunchy Oats 'n Honey Granola Bars,Cinnamon Brown Sugar Breakfast Biscuits,Trail Mix
1036,Oranges,Shredded Mexican Blend Cheese,Apples,Crunchy Oats 'n Honey Granola Bars,Cinnamon Brown Sugar Breakfast Biscuits,Trail Mix
1037,Cinnamon Brown Sugar Breakfast Biscuits,Shredded Mexican Blend Cheese,Apples,Crunchy Oats 'n Honey Granola Bars,Mixed Fruit Fruit Snacks,Red Seedless Grapes
1038,Crunchy Oats 'n Honey Granola Bars,Shredded Mexican Blend Cheese,Apples,Mixed Fruit Fruit Snacks,Red Seedless Grapes,Blackberries
1039,Apples,Shredded Mexican Blend Cheese,NA,NA,NA,NA
1040,Rum Raisin Ice Cream,Vanilla Ice Cream,Caramel Cone Ice Cream,Classic Soda Mini Bottles,Oven Roasted Turkey Breast,Dulce de Leche Caramel Ice Cream
1041,Diet Coke Soda,Classic Soda Mini Bottles,Rum Raisin Ice Cream,Vanilla Ice Cream,Caramel Cone Ice Cream,Oven Roasted Turkey Breast
1042,Coffee Ice Cream,Classic Soda Mini Bottles,Diet Coke Soda,Rum Raisin Ice Cream,Vanilla Ice Cream,Caramel Cone Ice Cream
1043,Natural Shredded Mexican Style Four Cheese,Natural Chunky Peanut Butter,Parmesan Shredded Cheese,Organic Soybean Spaghetti Shape,Honeycrisp Apple,NA
1044,Organic Soybean Spaghetti Shape,Natural Chunky Peanut Butter,Parmesan Shredded Cheese,Honeycrisp Apple,NA,NA
1045,Parmesan Shredded Cheese,Natural Chunky Peanut Butter,Honeycrisp Apple,NA,NA,NA
1046,Pita Crisps Simply Naked,Garlic Alfredo Sauce,Classic Hummus,NA,NA,NA
1047,Organic Raisin Bran Cereal,Tesora Medium Roast,Dark Chocolate Nuts & Sea Salt Bars,NA,NA,NA
1048,Canola Oil,Peaches,Granulated Sugar,NA,NA,NA
1049,Organic Sweet Cherries,Peaches,Canola Oil,Granulated Sugar,NA,NA
1050,Herb Roasted Chicken Dinner,Rocky Road Ice Cream,Mint Chip Ice Cream,NA,NA,NA
1051,Mint Chip Ice Cream,Rocky Road Ice Cream,NA,NA,NA,NA
1052,Soft & Smooth Whole Grain White Bread,Classic Fried Chicken Frozen Dinner,White Chocolate Raspberry Truffle Ice Cream,Milano Double Chocolate Cookies,Rocky Road Ice Cream,Mint Chip Ice Cream
1053,White Chocolate Raspberry Truffle Ice Cream,Milano Double Chocolate Cookies,Rocky Road Ice Cream,Mint Chip Ice Cream,Herb Roasted Chicken Dinner,Dulce de Leche Caramel Ice Cream
1054,Milano Double Chocolate Cookies,Rocky Road Ice Cream,Mint Chip Ice Cream,Herb Roasted Chicken Dinner,Dulce de Leche Caramel Ice Cream,NA
1055,Classic Fried Chicken Frozen Dinner,Rocky Road Ice Cream,Mint Chip Ice Cream,Herb Roasted Chicken Dinner,Milano Double Chocolate Cookies,White Chocolate Raspberry Truffle Ice Cream
1056,Organic 100% Pure Dark Amber Maple Syrup,Energy Coffee Beverage Vanilla,Milk,Vegetable Pot Pie,Clasico Nacho Chipotle Tortilla Chips,Mint Chocolate Chip
1057,Organic Frozen Mango Chunks,"Tortilla Chips, Clasico, Jalapeno Lime",Energy Coffee Beverage Vanilla,Clasico Nacho Chipotle Tortilla Chips,Organic White Wine Vinegar,Beefsteak Tomato
1058,Beefsteak Tomato,"Tortilla Chips, Clasico, Jalapeno Lime",Energy Coffee Beverage Vanilla,Clasico Nacho Chipotle Tortilla Chips,Mint Chocolate Chip,Authentic French Brioche
1059,Vegetable Pot Pie,Mint Chocolate Chip,"Tortilla Chips, Clasico, Jalapeno Lime",Energy Coffee Beverage Vanilla,Clasico Nacho Chipotle Tortilla Chips,Organic Frozen Mango Chunks
1060,Organic Free Range Grade A Large Brown Eggs,Vanilla Caramel Fudge Ice Cream,Tomato Purée,Thin And Crispy Corn Tortilla Chips,Organic Lemonade,Orecchiette Dry Pasta
1061,Clasico Nacho Chipotle Tortilla Chips,"Tortilla Chips, Clasico, Jalapeno Lime",Energy Coffee Beverage Vanilla,NA,NA,NA
1062,Mint Chocolate Chip,"Tortilla Chips, Clasico, Jalapeno Lime",Energy Coffee Beverage Vanilla,Clasico Nacho Chipotle Tortilla Chips,NA,NA
1063,Energy Coffee Beverage Vanilla,"Tortilla Chips, Clasico, Jalapeno Lime",NA,NA,NA,NA
1064,Milk,"Tortilla Chips, Clasico, Jalapeno Lime",Energy Coffee Beverage Vanilla,Clasico Nacho Chipotle Tortilla Chips,Beefsteak Tomato,Mint Chocolate Chip
1065,Steel Wool Soap Pads,Hershey's Chocolate Creme Pie Singles,Lemon with Electrolytes & Vitamins Water Beverage,Orange Gelatin,Sugar Free Lemon Lime Gelatin Snacks,Unflavored with Electrolytes Water
1066,Orange Gelatin,Zero Calories Berry Nutrient Enhanced Water,Unflavored with Electrolytes Water,Sugar Free Lemon Lime Gelatin Snacks,Lemon with Electrolytes & Vitamins Water Beverage,NA
1067,Unflavored with Electrolytes Water,Zero Calories Berry Nutrient Enhanced Water,Lemon with Electrolytes & Vitamins Water Beverage,NA,NA,NA
1068,Sugar Free Lemon Lime Gelatin Snacks,Zero Calories Berry Nutrient Enhanced Water,Unflavored with Electrolytes Water,Lemon with Electrolytes & Vitamins Water Beverage,NA,NA
1069,Zero Calories Berry Nutrient Enhanced Water,Lemon with Electrolytes & Vitamins Water Beverage,NA,NA,NA,NA
1070,Silver Tequila,Poultry & Beef Feast Variety  Cat Food,NA,NA,NA,NA
1071,Imported Light Beer,Poultry & Beef Feast Variety  Cat Food,Silver Tequila,NA,NA,NA
1072,Premium Belgian Lager,Poultry & Beef Feast Variety  Cat Food,Silver Tequila,Imported Light Beer,NA,NA
1073,Shepherd's Pie,Fat Free Smooth & Creamy Plain Organic Yogurt,NA,NA,NA,NA
1074,Organic White Wine Vinegar,"Tortilla Chips, Clasico, Jalapeno Lime",Energy Coffee Beverage Vanilla,Clasico Nacho Chipotle Tortilla Chips,Beefsteak Tomato,Milk
1075,Rice Mac & Cheese,Fat Free Smooth & Creamy Plain Organic Yogurt,Shepherd's Pie,NA,NA,NA
1076,Hershey's Chocolate Creme Pie Singles,Zero Calories Berry Nutrient Enhanced Water,Unflavored with Electrolytes Water,Sugar Free Lemon Lime Gelatin Snacks,Orange Gelatin,Lemon with Electrolytes & Vitamins Water Beverage
1077,Organic Lemonade,Thin And Crispy Corn Tortilla Chips,Tomato Purée,Vanilla Caramel Fudge Ice Cream,Orecchiette Dry Pasta,NA
1078,Squeeze Tomato Ketchup,Vanilla Bean Ice Cream,Rocky Road Ice Cream,ForceFlex Drawstring Tall Kitchen Bags,"Plates, Ultra, 10-1/16 Inch",Advance White Fluoride Anticavity Tartar Control Extreme Whitening Fresh Mint Flavor Toothpaste
1079,Cafe Steamers Asian Beef Teriyaki,Rocky Road Ice Cream,Mint Chip Ice Cream,Herb Roasted Chicken Dinner,Milano Double Chocolate Cookies,White Chocolate Raspberry Truffle Ice Cream
1080,Original Nooks & Crannies English Muffins,Soft & Smooth Whole Grain White Bread,Classic Fried Chicken Frozen Dinner,White Chocolate Raspberry Truffle Ice Cream,Milano Double Chocolate Cookies,Rocky Road Ice Cream
1081,Advance White Fluoride Anticavity Tartar Control Extreme Whitening Fresh Mint Flavor Toothpaste,Classic Fried Chicken Frozen Dinner,Rocky Road Ice Cream,Mint Chip Ice Cream,Herb Roasted Chicken Dinner,Milano Double Chocolate Cookies
1082,"Plates, Ultra, 10-1/16 Inch",Meat Lovers Breakfast Bowl,Soft & Smooth Whole Grain White Bread,Original Nooks & Crannies English Muffins,Cafe Steamers Asian Beef Teriyaki,Vanilla Bean Ice Cream
1083,Creamy Caesar Dressing,Salad Hearts of Romaine,Assorted Bites,NA,NA,NA
1084,Salad Hearts of Romaine,Assorted Bites,NA,NA,NA,NA
1085,Fresh Mozzarella All-Natural Sliced Cheese,Fat Free Skim Milk,NA,NA,NA,NA
1086,Vanilla Caramel Fudge Ice Cream,Orecchiette Dry Pasta,NA,NA,NA,NA
1087,Tomato Purée,Orecchiette Dry Pasta,Vanilla Caramel Fudge Ice Cream,NA,NA,NA
1088,Thin And Crispy Corn Tortilla Chips,Orecchiette Dry Pasta,Vanilla Caramel Fudge Ice Cream,Tomato Purée,NA,NA
1089,ForceFlex Drawstring Tall Kitchen Bags,Meat Lovers Breakfast Bowl,Rocky Road Ice Cream,Mint Chip Ice Cream,Herb Roasted Chicken Dinner,Milano Double Chocolate Cookies
1090,Caramel Cone Ice Cream,Vanilla Ice Cream,Classic Soda Mini Bottles,Oven Roasted Turkey Breast,Dulce de Leche Caramel Ice Cream,Chocolate Chip Cookie Dough Ice Cream
1091,Children's Silly Strawberry Fluoride Free Toothpaste,Organic Maple Syrup,Organic Low Fat Plain Yogurt,Organic Gluten Free Sea Salt by the Seashore Multigrain Tortilla Chips,Organic Mango,Cheddar Cheese Nut Thins Cracker Snacks
1092,European-Style Cultured Butter,Organic Maple Syrup,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,Organic Low Fat Plain Yogurt,Organic Mango,Cheddar Cheese Nut Thins Cracker Snacks
1093,Organic Gluten Free Sea Salt by the Seashore Multigrain Tortilla Chips,Organic Maple Syrup,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,Organic Low Fat Plain Yogurt,Organic Mango,Cheddar Cheese Nut Thins Cracker Snacks
1094,Organic Classic Rich Crackers,Children's Silly Strawberry Fluoride Free Toothpaste,Disinfecting Wet Wipes - Lemongrass Citrus,Organic Maple Syrup,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,Organic Low Fat Plain Yogurt
1095,Chicken Marsala,Wheat Thins Reduced Fat Crackers,Cafe Steamers General Tso's Spicy Chicken,"Ultra Soft Bathroom Tissue, Double Rolls",Reduced Fat Original Potato Crisps,90 Calories Low Fat Chocolate Chunk Granola Bars
1096,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,Organic Maple Syrup,Organic Lemon,NA,NA,NA
1097,Organic Low Fat Plain Yogurt,Organic Maple Syrup,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,Organic Lemon,NA,NA
1098,Organic Mango,Organic Maple Syrup,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,Organic Low Fat Plain Yogurt,Organic Lemon,NA
1099,Cheddar Cheese Nut Thins Cracker Snacks,Organic Maple Syrup,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,Organic Low Fat Plain Yogurt,Organic Mango,Organic Sunday Bacon
1100,Disinfecting Wet Wipes - Lemongrass Citrus,Organic Maple Syrup,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,Organic Low Fat Plain Yogurt,Organic Gluten Free Sea Salt by the Seashore Multigrain Tortilla Chips,Organic Mango
1101,Berries 'n Cherries Fruit Snacks,Reduced Fat Original Potato Crisps,90 Calories Low Fat Chocolate Chunk Granola Bars,"Pain Reliever/Fever Reducer (NSAID), Ibuprofen 200mg",Flour Tortillas,Light Sour Cream
1102,Peach Yoghurt,Pure Granulated Cane Sugar,Mango Yoghurt,NA,NA,NA
1103,Bananas,Organic Blueberry,NA,NA,NA,NA
1104,Single Origin 3,Organic Blueberry,Bananas,NA,NA,NA
1105,Mango Yoghurt,Pure Granulated Cane Sugar,NA,NA,NA,NA
1106,Premium Baking Chips Milk Chocolate,Acti-Fresh Body Shape Thin Unscented Pantiliners,NA,NA,NA,NA
1107,All Natural Gluten Free Probiotic Pineapple Yoghurt,Pure Granulated Cane Sugar,Mango Yoghurt,Peach Yoghurt,NA,NA
1108,French Vanilla Ice Cream,Pure Granulated Cane Sugar,Mango Yoghurt,Peach Yoghurt,All Natural Gluten Free Probiotic Pineapple Yoghurt,Organic Fresh Basil
1109,Italian Sparkling Pomegranate And Orange Soda,Cookie Sheets,Acorn Squash,Yellow Straightneck Squash,Milk Whole,Artesano Style Bread
1110,Casual Napkins,90 Calories Low Fat Chocolate Chunk Granola Bars,Light Sour Cream,Reduced Sugar Mixed Fruit Fruit Snacks,Deli Select Ultra Thin Honey Ham,Reduced Fat Sliced Provolone Cheese
1111,Original,"Ultra Soft Bathroom Tissue, Double Rolls",Reduced Fat Original Potato Crisps,Berries 'n Cherries Fruit Snacks,"Plates, 10-1/16 Inch",Casual Napkins
1112,"Plates, 10-1/16 Inch",Flour Tortillas,Berries 'n Cherries Fruit Snacks,Cafe Steamers General Tso's Spicy Chicken,Chicken Marsala,"Ultra Soft Bathroom Tissue, Double Rolls"
1113,Acorn Squash,Milk Whole,Yellow Straightneck Squash,Living Potted Rosemary,Baby Dynamic Duo Potatoes,Artesano Style Bread
1114,Cookie Sheets,Artesano Style Bread,Baby Dynamic Duo Potatoes,Living Potted Rosemary,Milk Whole,Yellow Straightneck Squash
1115,Milk Whole,Artesano Style Bread,NA,NA,NA,NA
1116,Baby Dynamic Duo Potatoes,Artesano Style Bread,Milk Whole,NA,NA,NA
1117,Living Potted Rosemary,Artesano Style Bread,Baby Dynamic Duo Potatoes,Milk Whole,NA,NA
1118,Mini Marshmallows,Red Globe Grapes,Green Seedless Grapes,Strawberries,NA,NA
1119,Miniatures,Red Globe Grapes,Mini Marshmallows,Green Seedless Grapes,Strawberries,NA
1120,Yellow Straightneck Squash,Milk Whole,Artesano Style Bread,Baby Dynamic Duo Potatoes,Living Potted Rosemary,NA
1121,L'elegance Toothpicks,Red Globe Grapes,Mini Marshmallows,Miniatures,Green Seedless Grapes,Strawberries
1122,Vanilla Ice Cream,Classic Soda Mini Bottles,Dulce de Leche Caramel Ice Cream,Oven Roasted Turkey Breast,NA,NA
1123,Fancy Eggplant,Parsnip,Cocktail Style Cubes  Spring Water Ice,Organic Fresh Basil,Romaine Lettuce,Organic Garnet Sweet Potato (Yam)
1124,Gluten Free White Sandwich Bread,Imported Mineral Water,Wheat Gluten Free Waffles,NA,NA,NA
1125,Golden Nugget Mandarin,Imported Mineral Water,Gluten Free White Sandwich Bread,Wheat Gluten Free Waffles,NA,NA
1126,Gluten Free Penne,Imported Mineral Water,Gluten Free White Sandwich Bread,Golden Nugget Mandarin,Wheat Gluten Free Waffles,NA
1127,100% Natural Spring Water Minis,Imported Mineral Water,Gluten Free White Sandwich Bread,Golden Nugget Mandarin,Gluten Free Penne,Wheat Gluten Free Waffles
1128,Cranberry Juice Cocktail,Imported Mineral Water,Gluten Free White Sandwich Bread,Golden Nugget Mandarin,Gluten Free Penne,100% Natural Spring Water Minis
1129,Almond Breeze Original Almond Milk,Pecan Caramel Almond Creamer,Cherry Vanilla Creme Soda,NA,NA,NA
1130,Bing Cherries,Pecan Caramel Almond Creamer,Almond Breeze Original Almond Milk,Cherry Vanilla Creme Soda,Pink Lady (Cripps) Apple,NA
1131,Chopped Kale,Hearty Grains 100% Whole Wheat English Muffins,NA,NA,NA,NA
1132,Parsnip,Cocktail Style Cubes  Spring Water Ice,Romaine Lettuce,NA,NA,NA
1133,Mashed Potatoes Garlic ID 525 Refrigerated Sides,Baked Scalloped Potatoes With Real Cheddar Cheese & Whole Milk,Gourmet Cut Caesar Croutons,Shredded Parmesan Cheese,Creamy Caesar Dressing,Salad Hearts of Romaine
1134,Select-A-Size White Giant Roll Paper Towels,De Mexico,NA,NA,NA,NA
1135,Pico De Gallo Beans & Rice Chips,Eucalyptus Mint Bubble Bath,NA,NA,NA,NA
1136,Sweet Rejuvenation Cashew Butter Macrobar,Eucalyptus Mint Bubble Bath,Pico De Gallo Beans & Rice Chips,NA,NA,NA
1137,Organic Low Fat Vegetable Barley Soup,Eucalyptus Mint Bubble Bath,Pico De Gallo Beans & Rice Chips,Sweet Rejuvenation Cashew Butter Macrobar,NA,NA
1138,Sprouted Whole Wheat Bread,Eucalyptus Mint Bubble Bath,Pico De Gallo Beans & Rice Chips,Sweet Rejuvenation Cashew Butter Macrobar,Organic Low Fat Vegetable Barley Soup,NA
1139,Baked Scalloped Potatoes With Real Cheddar Cheese & Whole Milk,Gourmet Cut Caesar Croutons,Shredded Parmesan Cheese,Creamy Caesar Dressing,Salad Hearts of Romaine,Assorted Bites
1140,Apple Pie Fruit & Nut Food Bar,Peach Pear Flavored Sparkling Water,"Macadamias, Maui Onion, Sweet",Peanut Butter Cookie,Brown Rice Snaps Black Sesame,Kiwi Sandia Sparkling Water
1141,Butter 2.0 Featuring Virgin Coconut Oil,Kiwi Sandia Sparkling Water,Brown Rice Snaps Black Sesame,Peach Pear Flavored Sparkling Water,"Macadamias, Maui Onion, Sweet",Peanut Butter Cookie
1142,Organic Smoked Turkey Breast,Kiwi Sandia Sparkling Water,Brown Rice Snaps Black Sesame,Peach Pear Flavored Sparkling Water,"Macadamias, Maui Onion, Sweet",Peanut Butter Cookie
1143,Kiwi Sandia Sparkling Water,Peach Pear Flavored Sparkling Water,NA,NA,NA,NA
1144,Peanut Butter Cookie,"Macadamias, Maui Onion, Sweet",Peach Pear Flavored Sparkling Water,Kiwi Sandia Sparkling Water,Brown Rice Snaps Black Sesame,NA
1145,Shredded Parmesan Cheese,Salad Hearts of Romaine,Creamy Caesar Dressing,Assorted Bites,NA,NA
1146,Gourmet Cut Caesar Croutons,Shredded Parmesan Cheese,Creamy Caesar Dressing,Salad Hearts of Romaine,Assorted Bites,NA
1147,Brown Rice Snaps Black Sesame,Kiwi Sandia Sparkling Water,Peach Pear Flavored Sparkling Water,NA,NA,NA
1148,"Macadamias, Maui Onion, Sweet",Kiwi Sandia Sparkling Water,Brown Rice Snaps Black Sesame,Peach Pear Flavored Sparkling Water,NA,NA
1149,Condensed Golden Mushroom Soup,Assorted Bites,Salad Hearts of Romaine,Creamy Caesar Dressing,Shredded Parmesan Cheese,Baked Scalloped Potatoes With Real Cheddar Cheese & Whole Milk
1150,Vegan Sour Cream & Onion Kettle Chips,Bing Cherries,Pecan Caramel Almond Creamer,Almond Breeze Original Almond Milk,California Cauliflower,Almond Cheddar Style Shredded Cheese Alternative
1151,Crunch Time,Vanilla Light & Fit Greek Yogurt,Organic Whole Milk with DHA Omega-3,Shredded Mozzarella Cheese,Muscat Grape Jelly,Family Size Naturally Flavored Whole Grain Oats Cereal
